YEAR,KEY,JRO,CRO,NRO,VDO,VRD,FRONTEX-RO,Humanitarian VR
2006,Number of deported people,8,0,0,0,0,0,0
2006,Number of operations,1,0,0,0,0,0,0
2007,Number of deported people,428,0,0,0,0,0,0
2007,Number of operations,13,0,0,0,0,0,0
2008,Number of deported people,801,0,0,0,0,0,0
2008,Number of operations,15,0,0,0,0,0,0
2009,Number of deported people,1622,0,0,0,0,0,0
2009,Number of operations,32,0,0,0,0,0,0
2010,Number of deported people,2038,0,0,0,0,0,0
2010,Number of operations,39,0,0,0,0,0,0
2011,Number of deported people,2059,0,0,0,0,0,0
2011,Number of operations,39,0,0,0,0,0,0
2012,Number of deported people,2110,0,0,0,0,0,0
2012,Number of operations,38,0,0,0,0,0,0
2013,Number of deported people,2022,39,0,0,0,0,0
2013,Number of operations,36,2,0,0,0,0,0
2014,Number of deported people,2147,132,0,0,0,0,0
2014,Number of operations,41,4,0,0,0,0,0
2015,Number of deported people,3240,336,0,0,0,0,0
2015,Number of operations,57,7,0,0,0,0,0
2016,Number of deported people,5397,652,4159,342,0,0,0
2016,Number of operations,111,15,98,7,0,0,0
2017,Number of deported people,7495,1430,5264,0,0,0,0
2017,Number of operations,153,38,150,0,0,0,0
2018,Number of deported people,6090,2438,3717,0,0,0,0
2018,Number of operations,139,67,139,0,0,0,0
2019,Number of deported people,5247,2403,3253,0,0,0,0
2019,Number of operations,142,64,124,0,0,0,0
2020,Number of deported people,1322,1281,4718,0,631,0,0
2020,Number of operations,38,36,151,0,7,0,0
2021,Number of deported people,2323,2015,5756,0,99,0,0
2021,Number of operations,63,62,211,0,1,0,0
2022,Number of deported people,1035,2391,5715,0,0,80,698
2022,Number of operations,36,71,178,0,0,2,4
