ROID,DATE,MSNAME,DEST,N_RETURNEES
RO-2013-001,2013-01-24T00:00:00Z,United Kingdom,Nigeria,42
RO-2013-001,2013-01-24T00:00:00Z,Spain,Nigeria,8
RO-2013-001,2013-01-24T00:00:00Z,Ireland,Nigeria,11
RO-2013-001,2013-01-24T00:00:00Z,Bulgaria,Nigeria,3
RO-2013-001,2013-01-24T00:00:00Z,Romania,Nigeria,1
RO-2013-002,2013-01-30T00:00:00Z,Austria,Nigeria,7
RO-2013-002,2013-01-30T00:00:00Z,Bulgaria,Nigeria,2
RO-2013-002,2013-01-30T00:00:00Z,Finland,Nigeria,6
RO-2013-002,2013-01-30T00:00:00Z,Hungary,Nigeria,2
RO-2013-002,2013-01-30T00:00:00Z,Greece,Nigeria,2
RO-2013-002,2013-01-30T00:00:00Z,Germany,Nigeria,6
RO-2013-003,2013-01-30T00:00:00Z,Spain,Ecuador,52
RO-2013-003,2013-01-30T00:00:00Z,Spain,Colombia,56
RO-2013-003,2013-01-30T00:00:00Z,France,Ecuador,2
RO-2013-004,2013-02-07T00:00:00Z,Italy,Nigeria,33
RO-2013-004,2013-02-07T00:00:00Z,Bulgaria,Nigeria,2
RO-2013-004,2013-02-07T00:00:00Z,Greece,Nigeria,3
RO-2013-005,2013-02-13T00:00:00Z,Spain,Ukraine,10
RO-2013-005,2013-02-13T00:00:00Z,Spain,Georgia,12
RO-2013-005,2013-02-13T00:00:00Z,Ireland,Georgia,7
RO-2013-005,2013-02-13T00:00:00Z,Greece,Georgia,2
RO-2013-005,2013-02-13T00:00:00Z,Italy,Ukraine,3
RO-2013-005,2013-02-13T00:00:00Z,Italy,Georgia,3
RO-2013-005,2013-02-13T00:00:00Z,Hungary,Georgia,1
RO-2013-005,2013-02-13T00:00:00Z,Poland,Georgia,10
RO-2013-005,2013-02-13T00:00:00Z,France,Georgia,2
RO-2013-005,2013-02-13T00:00:00Z,Germany,Ukraine,1
RO-2013-005,2013-02-13T00:00:00Z,Germany,Georgia,3
